CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,13:50:33 - March 24 - 2025

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
13:50:43 03/24/25,50,50,50,50,50,50,,,50,50,100,4649.96,,50,50,100,4649.96,,50,50,100,4649.96,,50,50,100,4649.96,,50,50,100,4649.96,,50,50,100,4649.96,67.3,
13:50:53 03/24/25,49,49,49,49,49,49,,,49,50,100,4649.96,,49,50,100,4649.96,,49,50,100,4649.96,,49,50,100,4649.96,,49,50,100,4649.96,,49,50,100,4649.96,68.2,
13:51:03 03/24/25,50,50,50,50,50,50,,,49,51,100,4649.96,,49,51,100,4649.96,,49,51,100,4649.96,,49,51,100,4649.96,,49,51,100,4649.96,,49,51,100,4649.96,67.8,
13:51:13 03/24/25,50,50,50,50,50,50,,,49,51,100,4649.96,,49,51,100,4649.96,,49,51,100,4649.96,,49,51,100,4649.96,,49,51,100,4649.96,,49,51,100,4649.96,68.1,
13:51:23 03/24/25,50,50,50,50,50,50,,,49,51,100,4649.96,,49,51,100,4649.96,,49,51,100,4649.96,,49,51,100,4649.96,,49,51,100,4649.96,,49,51,100,4649.96,68.2,
13:51:33 03/24/25,51,51,51,51,51,51,,,49,52,100,4649.96,,49,51,100,4649.96,,49,51,100,4649.96,,49,52,100,4649.96,,49,52,100,4649.96,,49,52,100,4649.96,68.3,
13:51:43 03/24/25,63,63,63,63,63,63,,,48,63,100,4649.96,,48,63,100,4649.96,,48,63,100,4649.96,,48,63,100,4649.96,,48,63,100,4649.96,,48,63,100,4649.96,99.3,
13:51:53 03/24/25,68,68,68,68,68,68,,,48,68,100,4649.96,,48,68,100,4649.96,,48,68,100,4649.96,,48,68,100,4649.96,,48,68,100,4649.96,,48,68,100,4649.96,93.3,
13:52:03 03/24/25,68,68,68,68,68,68,,,48,68,100,4649.96,,48,68,100,4649.96,,48,68,100,4649.96,,48,68,100,4649.96,,48,68,100,4649.96,,48,68,100,4649.96,90.4,
13:52:13 03/24/25,67,67,67,67,67,67,,,48,68,100,4649.96,,48,68,100,4649.96,,48,68,100,4649.96,,48,68,100,4649.96,,48,68,100,4649.96,,48,68,100,4649.96,89.4,
13:52:23 03/24/25,67,67,67,67,67,67,,,48,68,100,4649.96,,48,68,100,4649.96,,48,68,100,4649.96,,48,68,100,4649.96,,48,68,100,4649.96,,48,68,100,4649.96,89.8,
13:52:33 03/24/25,68,68,68,68,68,68,,,48,68,100,4649.96,,48,68,100,4649.96,,48,68,100,4649.96,,48,68,100,4649.96,,48,68,100,4649.96,,48,68,100,4649.96,94.1,
13:52:43 03/24/25,69,69,69,69,69,69,,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,96.3,
13:52:53 03/24/25,69,69,69,69,69,69,,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,95.8,
13:53:03 03/24/25,67,67,67,67,67,67,,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,90.9,
13:53:13 03/24/25,67,67,67,67,67,67,,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,88.9,
13:53:23 03/24/25,67,67,67,67,67,67,,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,95.7,
13:53:33 03/24/25,68,68,68,68,68,68,,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,92.9,
13:53:43 03/24/25,67,67,67,67,67,67,,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,90.8,
13:53:53 03/24/25,68,68,68,68,68,68,,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,98.2,
13:54:03 03/24/25,69,69,69,69,69,69,,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,93.3,
13:54:13 03/24/25,68,68,68,68,68,68,,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,91.9,
13:54:23 03/24/25,66,66,66,66,66,66,,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,91.3,
13:54:33 03/24/25,67,67,67,67,67,67,,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,95.0,
13:54:43 03/24/25,67,67,67,67,67,67,,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,93.9,
13:54:53 03/24/25,68,68,68,68,68,68,,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,95.3,
13:55:03 03/24/25,68,68,68,68,68,68,,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,93.4,
13:55:13 03/24/25,68,68,68,68,68,68,,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,95.3,
13:55:23 03/24/25,69,69,69,69,69,69,,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,96.6,
13:55:33 03/24/25,69,69,69,69,69,69,,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,93.6,
13:55:43 03/24/25,67,67,67,67,67,67,,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,91.4,
13:55:53 03/24/25,66,66,66,66,66,66,,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,92.9,
13:56:03 03/24/25,67,67,67,67,67,67,,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,94.9,
13:56:13 03/24/25,69,69,69,69,69,69,,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,100.8,
13:56:23 03/24/25,69,69,69,69,69,69,,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,99.1,
13:56:33 03/24/25,69,69,69,69,69,69,,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,91.9,
13:56:43 03/24/25,68,68,68,68,68,68,,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,88.7,
13:56:53 03/24/25,68,68,68,68,68,68,,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,93.6,
13:57:03 03/24/25,69,69,69,69,69,69,,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,,48,69,100,4649.96,98.6,
13:57:13 03/24/25,69,69,69,69,69,69,,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,96.2,
13:57:23 03/24/25,70,70,70,70,70,70,,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,97.4,
13:57:33 03/24/25,70,70,70,70,70,70,,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,97.6,
13:57:43 03/24/25,70,70,70,70,70,70,,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,99.4,
13:57:53 03/24/25,69,69,69,69,69,69,,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,94.2,
13:58:03 03/24/25,68,68,68,68,68,68,,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,90.9,
13:58:13 03/24/25,69,69,69,69,69,69,,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,92.5,
13:58:23 03/24/25,69,69,69,69,69,69,,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,94.8,
13:58:33 03/24/25,70,70,70,70,70,70,,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,96.7,
13:58:43 03/24/25,70,70,70,70,70,70,,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,92.2,
13:58:53 03/24/25,68,68,68,68,68,68,,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,90.7,
13:59:03 03/24/25,69,69,69,69,69,69,,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,97.5,
13:59:13 03/24/25,69,69,69,69,69,69,,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,,48,70,100,4649.96,97.3,
13:59:23 03/24/25,50,50,50,50,50,50,,,48,70,0,4649.96,,48,70,0,4649.96,,48,70,0,4649.96,,48,70,2,4649.96,,48,70,0,4649.96,,48,70,4,4649.96,39.7,
13:59:33 03/24/25,49,49,49,49,49,49,,,44,70,1,4649.96,,44,70,4,4649.96,,44,70,1,4649.96,,44,70,33,4649.96,,44,70,0,4649.96,,44,70,21,4649.96,49.2,
13:59:43 03/24/25,48,48,48,48,48,48,,,44,70,38,4649.96,,44,70,39,4649.96,,44,70,41,4649.96,,44,70,43,4649.96,,44,70,41,4649.96,,44,70,44,4649.96,63.2,
13:59:53 03/24/25,55,55,55,55,55,55,,,44,70,100,4649.96,,44,70,100,4649.96,,44,70,100,4649.96,,44,70,100,4649.96,,44,70,100,4649.96,,44,70,100,4649.96,80.6,
14:00:03 03/24/25,49,49,49,49,49,49,,,44,70,42,4649.96,,44,70,10,4649.96,,44,70,4,4649.96,,44,70,12,4649.96,,44,70,1,4649.96,,44,70,19,4649.96,51.3,
