CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,15:39:34 - March 24 - 2025

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
15:39:44 03/24/25,66,66,66,66,66,66,,,66,66,100,4649.99,,66,66,100,4649.99,,66,66,100,4649.99,,66,66,100,4649.99,,66,66,100,4649.99,,66,66,100,4649.99,86.3,
15:39:54 03/24/25,66,66,66,66,66,66,,,66,66,100,4649.99,,66,66,100,4649.99,,66,66,100,4649.99,,66,66,100,4649.99,,66,66,100,4649.99,,66,66,100,4649.99,86.4,
15:40:04 03/24/25,66,66,66,66,66,66,,,66,66,100,4649.99,,66,66,100,4649.99,,66,66,100,4649.99,,66,66,100,4649.99,,66,66,100,4649.99,,66,66,100,4649.99,86.2,
15:40:14 03/24/25,65,65,65,65,65,65,,,65,66,100,4649.99,,65,66,100,4649.99,,65,66,100,4649.99,,65,66,100,4649.99,,65,66,100,4649.99,,65,66,100,4649.99,86.3,
15:40:24 03/24/25,55,55,55,55,55,55,,,55,66,4,4649.99,,55,66,7,4649.99,,55,66,1,4649.99,,55,66,8,4649.99,,55,66,0,4649.99,,55,66,5,4649.99,43.4,
15:40:34 03/24/25,44,44,44,44,44,44,,,44,66,1,4649.99,,44,66,4,4649.99,,44,66,2,4649.99,,44,66,3,4649.99,,44,66,0,4649.99,,44,66,5,4649.99,40.9,
15:40:44 03/24/25,41,41,41,41,41,41,,,40,66,5,4649.99,,40,66,9,4649.99,,40,66,1,4649.99,,40,66,11,4649.99,,40,66,4,4649.99,,40,66,13,4649.99,43.4,
15:40:54 03/24/25,40,40,40,40,40,40,,,40,66,1,4649.99,,40,66,1,4649.99,,40,66,0,4649.99,,40,66,3,4649.99,,40,66,0,4649.99,,40,66,1,4649.99,75.3,
15:41:06 03/24/25,64,64,64,64,64,64,,,40,66,100,4649.99,,40,66,100,4649.99,,40,66,100,4649.99,,40,66,100,4649.99,,40,66,100,4649.99,,40,66,100,4649.99,86.3,
15:41:14 03/24/25,56,56,56,56,56,56,,,40,66,9,4649.99,,40,66,12,4649.99,,40,66,5,4649.99,,40,66,18,4649.99,,40,66,5,4649.99,,40,66,17,4649.99,46.7,
15:41:24 03/24/25,48,48,48,48,48,48,,,40,66,14,4649.99,,40,66,11,4649.99,,40,66,7,4649.99,,40,66,14,4649.99,,40,66,4,4649.99,,40,66,18,4649.99,45.7,
15:41:34 03/24/25,49,49,49,49,49,49,,,40,66,21,4649.99,,40,66,26,4649.99,,40,66,19,4649.99,,40,66,22,4649.99,,40,66,4,4649.99,,40,66,28,4649.99,53.1,
15:41:44 03/24/25,47,46,46,47,47,47,,,40,66,1,4649.99,,40,66,3,4649.99,,40,66,0,4649.99,,40,66,4,4649.99,,40,66,1,4649.99,,40,66,3,4649.99,46.3,
15:41:54 03/24/25,43,43,43,43,43,43,,,40,66,0,4649.99,,40,66,0,4649.99,,40,66,0,4649.99,,40,66,0,4649.99,,40,66,0,4649.99,,40,66,2,4649.99,46.3,
15:42:04 03/24/25,46,46,46,46,46,46,,,40,66,39,4649.99,,40,66,33,4649.99,,40,66,29,4649.99,,40,66,42,4649.99,,40,66,20,4649.99,,40,66,41,4649.99,52.6,
15:42:14 03/24/25,49,49,49,49,49,49,,,40,66,26,4649.99,,40,66,25,4649.99,,40,66,17,4649.99,,40,66,36,4649.99,,40,66,16,4649.99,,40,66,50,4649.99,60.8,
15:42:24 03/24/25,50,50,50,50,50,50,,,40,66,32,4649.99,,40,66,30,4649.99,,40,66,15,4649.99,,40,66,38,4649.99,,40,66,9,4649.99,,40,66,40,4649.99,64.5,
15:42:34 03/24/25,49,49,49,49,49,49,,,40,66,33,4649.99,,40,66,34,4649.99,,40,66,15,4649.99,,40,66,48,4649.99,,40,66,14,4649.99,,40,66,44,4649.99,64.8,
15:42:44 03/24/25,50,50,50,50,50,50,,,40,66,34,4649.99,,40,66,39,4649.99,,40,66,22,4649.99,,40,66,49,4649.99,,40,66,22,4649.99,,40,66,46,4649.99,65.4,
15:42:54 03/24/25,50,50,50,50,50,50,,,40,66,31,4649.99,,40,66,28,4649.99,,40,66,14,4649.99,,40,66,40,4649.99,,40,66,16,4649.99,,40,66,36,4649.99,65.1,
