CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,12:55:57 - March 24 - 2025

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
12:56:07 03/24/25,50,50,50,50,50,50,,,46,51,0,4649.97,,46,51,2,4649.97,,46,51,0,4649.97,,46,51,5,4649.97,,46,51,0,4649.97,,46,51,2,4649.97,41.4,
12:56:17 03/24/25,62,62,62,62,62,62,,,46,62,100,4649.97,,46,62,100,4649.97,,46,62,100,4649.97,,46,62,100,4649.97,,46,62,100,4649.97,,46,62,100,4649.97,70.2,
12:56:27 03/24/25,64,64,64,64,64,64,,,46,64,100,4649.97,,46,64,100,4649.97,,46,64,100,4649.97,,46,64,100,4649.97,,46,64,100,4649.97,,46,64,100,4649.97,70.2,
12:56:37 03/24/25,65,65,65,65,65,65,,,46,65,100,4649.97,,46,65,100,4649.97,,46,65,100,4649.97,,46,65,100,4649.97,,46,65,100,4649.97,,46,65,100,4649.97,71.4,
12:56:47 03/24/25,66,66,66,66,66,66,,,46,66,100,4649.97,,46,66,100,4649.97,,46,66,100,4649.97,,46,66,100,4649.97,,46,66,100,4649.97,,46,66,100,4649.97,71.2,
12:56:57 03/24/25,67,67,67,67,67,67,,,46,67,100,4649.97,,46,67,100,4649.97,,46,67,100,4649.97,,46,67,100,4649.97,,46,67,100,4649.97,,46,67,100,4649.97,70.7,
12:57:07 03/24/25,70,70,70,70,70,70,,,46,70,100,4649.97,,46,70,100,4649.97,,46,70,100,4649.97,,46,70,100,4649.97,,46,70,100,4649.97,,46,70,100,4649.97,74.5,
12:57:17 03/24/25,69,69,69,69,69,69,,,46,70,100,4649.97,,46,70,100,4649.97,,46,70,100,4649.97,,46,70,100,4649.97,,46,70,100,4649.97,,46,70,100,4649.97,72.0,
12:57:27 03/24/25,70,70,70,70,70,70,,,46,70,100,4649.97,,46,70,100,4649.97,,46,70,100,4649.97,,46,70,100,4649.97,,46,70,100,4649.97,,46,70,100,4649.97,72.6,
12:57:37 03/24/25,70,70,70,70,70,70,,,46,70,100,4649.97,,46,70,100,4649.97,,46,70,100,4649.97,,46,70,100,4649.97,,46,70,100,4649.97,,46,70,100,4649.97,73.1,
12:57:47 03/24/25,71,71,71,71,71,71,,,46,71,100,4649.97,,46,71,100,4649.97,,46,71,100,4649.97,,46,71,100,4649.97,,46,71,100,4649.97,,46,71,100,4649.97,73.4,
12:57:57 03/24/25,71,71,71,71,71,71,,,46,71,100,4649.97,,46,71,100,4649.97,,46,71,100,4649.97,,46,71,100,4649.97,,46,71,100,4649.97,,46,71,100,4649.97,73.7,
12:58:07 03/24/25,72,72,72,72,72,72,,,46,72,100,4649.97,,46,72,100,4649.97,,46,72,100,4649.97,,46,72,100,4649.97,,46,72,100,4649.97,,46,72,100,4649.97,73.8,
12:58:17 03/24/25,72,72,72,72,72,72,,,46,72,100,4649.97,,46,72,100,4649.97,,46,72,100,4649.97,,46,72,100,4649.97,,46,72,100,4649.97,,46,72,100,4649.97,74.2,
12:58:27 03/24/25,72,72,72,72,72,72,,,46,72,100,4649.97,,46,72,100,4649.97,,46,72,100,4649.97,,46,72,100,4649.97,,46,72,100,4649.97,,46,72,100,4649.97,74.4,
12:58:37 03/24/25,73,73,73,73,73,73,,,46,73,100,4649.97,,46,73,100,4649.97,,46,73,100,4649.97,,46,73,100,4649.97,,46,73,100,4649.97,,46,73,100,4649.97,74.5,
12:58:47 03/24/25,73,73,73,73,73,73,,,46,73,100,4649.97,,46,73,100,4649.97,,46,73,100,4649.97,,46,73,100,4649.97,,46,73,100,4649.97,,46,73,100,4649.97,74.6,
12:58:57 03/24/25,73,73,73,73,73,73,,,46,73,100,4649.97,,46,73,100,4649.97,,46,73,100,4649.97,,46,73,100,4649.97,,46,73,100,4649.97,,46,73,100,4649.97,74.5,
12:59:07 03/24/25,74,74,74,74,74,74,,,46,74,100,4649.97,,46,74,100,4649.97,,46,74,100,4649.97,,46,74,100,4649.97,,46,74,100,4649.97,,46,74,100,4649.97,74.5,
12:59:17 03/24/25,74,74,74,74,74,74,,,46,74,100,4649.97,,46,74,100,4649.97,,46,74,100,4649.97,,46,74,100,4649.97,,46,74,100,4649.97,,46,74,100,4649.97,74.7,
12:59:27 03/24/25,74,74,74,74,74,74,,,46,74,100,4649.97,,46,74,100,4649.97,,46,74,100,4649.97,,46,74,100,4649.97,,46,74,100,4649.97,,46,74,100,4649.97,74.9,
12:59:37 03/24/25,74,74,74,74,74,74,,,46,74,100,4649.97,,46,74,100,4649.97,,46,74,100,4649.97,,46,74,100,4649.97,,46,74,100,4649.97,,46,74,100,4649.97,75.1,
12:59:47 03/24/25,75,75,75,75,75,75,,,46,75,100,4649.97,,46,75,100,4649.97,,46,75,100,4649.97,,46,75,100,4649.97,,46,75,100,4649.97,,46,75,100,4649.97,75.2,
12:59:57 03/24/25,75,75,75,75,75,75,,,46,75,100,4649.97,,46,75,100,4649.97,,46,75,100,4649.97,,46,75,100,4649.97,,46,75,100,4649.97,,46,75,100,4649.97,75.2,
13:00:07 03/24/25,75,75,75,75,75,75,,,46,75,100,4649.97,,46,75,100,4649.97,,46,75,100,4649.97,,46,75,100,4649.97,,46,75,100,4649.97,,46,75,100,4649.97,75.2,
13:00:17 03/24/25,75,75,75,75,75,75,,,46,75,100,4649.97,,46,75,100,4649.97,,46,75,100,4649.97,,46,75,100,4649.97,,46,75,100,4649.97,,46,75,100,4649.97,75.3,
13:00:27 03/24/25,75,75,75,75,75,75,,,46,75,100,4649.97,,46,75,100,4649.97,,46,75,100,4649.97,,46,75,100,4649.97,,46,75,100,4649.97,,46,75,100,4649.97,75.3,
13:00:37 03/24/25,76,76,76,76,76,76,,,46,76,100,4649.97,,46,76,100,4649.97,,46,76,100,4649.97,,46,76,100,4649.97,,46,76,100,4649.97,,46,76,100,4649.97,75.4,
13:00:47 03/24/25,76,76,76,76,76,76,,,46,76,100,4649.97,,46,76,100,4649.97,,46,76,100,4649.97,,46,76,100,4649.97,,46,76,100,4649.97,,46,76,100,4649.97,75.4,
13:00:57 03/24/25,76,76,76,76,76,76,,,46,76,100,4649.97,,46,76,100,4649.97,,46,76,100,4649.97,,46,76,100,4649.97,,46,76,100,4649.97,,46,76,100,4649.97,75.5,
13:01:07 03/24/25,76,76,76,76,76,76,,,46,76,100,4649.97,,46,76,100,4649.97,,46,76,100,4649.97,,46,76,100,4649.97,,46,76,100,4649.97,,46,76,100,4649.97,75.5,
13:01:17 03/24/25,77,77,77,77,77,77,,,46,77,100,4649.97,,46,77,100,4649.97,,46,77,100,4649.97,,46,77,100,4649.97,,46,77,100,4649.97,,46,77,100,4649.97,75.6,
13:01:27 03/24/25,77,77,77,77,77,77,,,46,78,100,4649.97,,46,78,100,4649.97,,46,78,100,4649.97,,46,78,100,4649.97,,46,78,100,4649.97,,46,78,100,4649.97,75.5,
13:01:37 03/24/25,77,77,77,77,77,77,,,46,78,100,4649.97,,46,78,100,4649.97,,46,78,100,4649.97,,46,78,100,4649.97,,46,78,100,4649.97,,46,78,100,4649.97,75.5,
13:01:47 03/24/25,78,78,78,78,78,78,,,46,78,100,4649.97,,46,78,100,4649.97,,46,78,100,4649.97,,46,78,100,4649.97,,46,78,100,4649.97,,46,78,100,4649.97,75.5,
13:01:57 03/24/25,78,78,78,78,78,78,,,46,78,100,4649.97,,46,78,100,4649.97,,46,78,100,4649.97,,46,78,100,4649.97,,46,78,100,4649.97,,46,78,100,4649.97,75.5,
13:02:07 03/24/25,77,77,77,77,77,77,,,46,78,100,4649.97,,46,78,100,4649.97,,46,78,100,4649.97,,46,78,100,4649.97,,46,78,100,4649.97,,46,78,100,4649.97,75.4,
13:02:17 03/24/25,77,77,77,77,77,77,,,46,78,100,4649.97,,46,78,100,4649.97,,46,78,100,4649.97,,46,78,100,4649.97,,46,78,100,4649.97,,46,78,100,4649.97,75.5,
13:02:27 03/24/25,79,79,79,79,79,79,,,46,79,100,4649.97,,46,79,100,4649.97,,46,79,100,4649.97,,46,79,100,4649.97,,46,79,100,4649.97,,46,79,100,4649.97,75.6,
13:02:37 03/24/25,77,77,77,77,77,77,,,46,79,100,4649.97,,46,79,100,4649.97,,46,79,100,4649.97,,46,79,100,4649.97,,46,79,100,4649.97,,46,79,100,4649.97,75.6,
13:02:47 03/24/25,82,82,82,82,82,82,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.5,
13:02:57 03/24/25,81,81,81,81,81,81,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.5,
13:03:07 03/24/25,78,78,78,78,78,78,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.5,
13:03:17 03/24/25,77,77,77,77,77,77,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.5,
13:03:27 03/24/25,77,77,77,77,77,77,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.5,
13:03:37 03/24/25,77,77,77,77,77,77,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.6,
13:03:47 03/24/25,77,77,77,77,77,77,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.5,
13:03:57 03/24/25,76,76,76,76,76,76,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.6,
13:04:07 03/24/25,76,76,76,76,76,76,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.5,
13:04:17 03/24/25,76,76,76,76,76,76,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.4,
13:04:27 03/24/25,76,76,76,76,76,76,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.5,
13:04:37 03/24/25,76,76,76,76,76,76,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.4,
13:04:47 03/24/25,76,76,76,76,76,76,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.5,
13:04:57 03/24/25,76,76,76,76,76,76,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.4,
13:05:07 03/24/25,76,76,76,76,76,76,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.5,
13:05:17 03/24/25,76,76,76,76,76,76,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.5,
13:05:27 03/24/25,76,76,76,76,76,76,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.4,
13:05:37 03/24/25,76,76,76,76,76,76,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.4,
13:05:47 03/24/25,76,76,76,76,76,76,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.4,
13:05:57 03/24/25,76,76,76,76,76,76,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.5,
13:06:07 03/24/25,76,76,76,76,76,76,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.6,
13:06:17 03/24/25,76,76,76,76,76,76,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.4,
13:06:27 03/24/25,76,76,76,76,76,76,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.5,
13:06:37 03/24/25,79,79,79,79,79,79,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.6,
13:06:47 03/24/25,78,78,78,78,78,78,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.6,
13:06:57 03/24/25,77,77,77,77,77,77,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.5,
13:07:07 03/24/25,77,77,77,77,77,77,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.5,
13:07:17 03/24/25,77,77,77,77,77,77,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.6,
13:07:27 03/24/25,77,77,77,77,77,77,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.5,
13:07:37 03/24/25,77,77,77,77,77,77,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.6,
13:07:47 03/24/25,77,77,77,77,77,77,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.6,
13:07:57 03/24/25,77,77,77,77,77,77,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.5,
13:08:07 03/24/25,77,77,77,77,77,77,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.6,
13:08:17 03/24/25,77,77,77,77,77,77,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.6,
13:08:27 03/24/25,77,77,77,77,77,77,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.6,
13:08:37 03/24/25,77,77,77,77,77,77,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.6,
13:08:47 03/24/25,77,77,77,77,77,77,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.5,
13:08:57 03/24/25,77,77,77,77,77,77,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.6,
13:09:07 03/24/25,77,77,77,77,77,77,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.4,
13:09:17 03/24/25,77,77,77,77,77,77,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.6,
13:09:27 03/24/25,77,77,77,77,77,77,,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,,46,82,100,4649.97,75.5,
