CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,22:48:25 - March 24 - 2025

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
22:48:38 03/24/25,66,66,66,66,66,66,,,60,67,93,4649.98,,60,67,94,4649.98,,60,67,95,4649.98,,60,67,96,4649.98,,60,67,96,4649.98,,60,67,96,4649.98,67.3,
22:48:47 03/24/25,66,66,66,66,66,66,,,60,67,93,4649.98,,60,67,94,4649.98,,60,67,95,4649.98,,60,67,96,4649.98,,60,67,96,4649.98,,60,67,96,4649.98,86.5,
22:48:57 03/24/25,67,67,67,67,67,67,,,60,67,100,4649.98,,60,67,100,4649.98,,60,67,100,4649.98,,60,67,100,4649.98,,60,67,100,4649.98,,60,67,100,4649.98,86.5,
22:49:07 03/24/25,68,68,68,68,68,68,,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,86.6,
22:49:18 03/24/25,68,68,68,68,68,68,,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,86.6,
22:49:28 03/24/25,68,68,68,68,68,68,,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,86.6,
22:49:37 03/24/25,68,68,68,68,68,68,,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,86.6,
22:49:47 03/24/25,68,68,68,68,68,68,,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,86.7,
22:49:57 03/24/25,68,68,68,68,68,68,,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,86.6,
22:50:08 03/24/25,68,68,68,68,68,68,,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,86.7,
22:50:18 03/24/25,68,68,68,68,68,68,,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,86.7,
22:50:26 03/24/25,68,68,68,68,68,68,,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,86.7,
22:50:42 03/24/25,68,68,68,68,68,68,,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,86.7,
22:50:47 03/24/25,68,68,68,68,68,68,,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,86.7,
22:50:56 03/24/25,68,68,68,68,68,68,,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,86.8,
22:51:07 03/24/25,68,68,68,68,68,68,,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,86.7,
22:51:16 03/24/25,68,68,68,68,68,68,,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,86.7,
22:51:28 03/24/25,68,68,68,68,68,68,,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,86.7,
22:51:38 03/24/25,68,68,68,68,68,68,,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,86.7,
22:51:48 03/24/25,68,68,68,68,68,68,,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,86.7,
22:51:58 03/24/25,68,68,68,68,68,68,,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,86.7,
22:52:07 03/24/25,68,68,68,68,68,68,,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,86.7,
22:52:17 03/24/25,68,68,68,68,68,68,,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,86.7,
22:52:26 03/24/25,68,68,68,68,68,68,,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,86.6,
22:52:37 03/24/25,68,68,68,68,68,68,,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,86.7,
22:52:46 03/24/25,68,68,68,68,68,68,,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,,60,68,100,4649.98,86.6,
